外上唇恶性肿瘤	C00.000
外上唇口红区恶性肿瘤	C00.001
外上唇唇红缘恶性肿瘤	C00.002
外下唇恶性肿瘤	C00.100
外下唇口红区恶性肿瘤	C00.101
外下唇唇红缘恶性肿瘤	C00.102
外唇的恶性肿瘤	C00.200
外唇唇红缘恶性肿瘤	C00.200x002
上唇内面恶性肿瘤	C00.300
上唇内面颊侧面恶性肿瘤	C00.301
上唇内面系带恶性肿瘤	C00.302
上唇内面黏膜恶性肿瘤	C00.303
上唇内面口腔面恶性肿瘤	C00.304
下唇内面恶性肿瘤	C00.400
下唇内面颊侧面恶性肿瘤	C00.401
下唇内面系带恶性肿瘤	C00.402
下唇内面黏膜恶性肿瘤	C00.403
下唇内面口腔面恶性肿瘤	C00.404
唇内面的恶性肿瘤	C00.500
唇内面黏膜恶性肿瘤	C00.500x002
唇内面口腔面恶性肿瘤	C00.500x003
唇内面系带恶性肿瘤	C00.500x004
唇内面颊侧面恶性肿瘤	C00.500x005
唇连合的恶性肿瘤	C00.600
唇交搭跨越恶性肿瘤的损害	C00.800
唇恶性肿瘤	C00.900
舌根恶性肿瘤	C01.x00
舌后三分之一恶性肿瘤	C01.x00x003
舌根背面恶性肿瘤	C01.x01
舌背面恶性肿瘤	C02.000
舌前三分之二背面恶性肿瘤	C02.000x002
舌缘恶性肿瘤	C02.100
舌尖及侧缘的恶性肿瘤	C02.100x001
舌尖恶性肿瘤	C02.101
舌腹面恶性肿瘤	C02.200
舌前三分之二腹面恶性肿瘤	C02.200x002
舌系带恶性肿瘤	C02.201
舌前三分之二部位的恶性肿瘤	C02.300
舌中三分之一恶性肿瘤	C02.300x002
舌活动部分恶性肿瘤	C02.300x003
舌扁桃体恶性肿瘤	C02.400
舌交搭跨越恶性肿瘤的损害	C02.800
舌恶性肿瘤	C02.900
舌多处恶性肿瘤	C02.900x002
上牙龈恶性肿瘤	C03.000
上颌恶性肿瘤	C03.000x002
上颌软组织恶性肿瘤	C03.001
下牙龈恶性肿瘤	C03.100
下颌恶性肿瘤	C03.100x002
下颌软组织恶性肿瘤	C03.101
牙龈恶性肿瘤	C03.900
颌结缔组织恶性肿瘤	C03.900x001
颌软组织恶性肿瘤	C03.901
口底前部恶性肿瘤	C04.000
口底侧部恶性肿瘤	C04.100
口底交搭跨越恶性肿瘤的损害	C04.800
口底恶性肿瘤	C04.900
硬腭恶性肿瘤	C05.000
软腭恶性肿瘤	C05.100
悬雍垂恶性肿瘤	C05.200
腭交搭跨越恶性肿瘤的损害	C05.800
腭恶性肿瘤	C05.900
口顶恶性肿瘤	C05.900x002
颊黏膜恶性肿瘤	C06.000
颊内部恶性肿瘤	C06.001
口前庭恶性肿瘤	C06.100
上颊沟恶性肿瘤	C06.100x002
下颊沟恶性肿瘤	C06.100x003
上唇沟恶性肿瘤	C06.100x004
下唇沟恶性肿瘤	C06.100x005
颊龈沟恶性肿瘤	C06.101
唇龈沟恶性肿瘤	C06.102
磨牙后区恶性肿瘤	C06.200
口的其他和未特指部位交搭跨越恶性肿瘤的损害	C06.800
口恶性肿瘤	C06.900
小涎腺恶性肿瘤	C06.901
口腔黏膜恶性肿瘤	C06.902
腮腺恶性肿瘤	C07.x00
副腮腺恶性肿瘤	C07.x00x003
下颌下腺恶性肿瘤	C08.000
舌下腺恶性肿瘤	C08.100
大涎腺交搭跨越恶性肿瘤的损害	C08.800
舌下腺及下颌下腺恶性肿瘤	C08.800x001
大涎腺恶性肿瘤	C08.900
唾液腺恶性肿瘤	C08.900x001
扁桃体窝恶性肿瘤	C09.000
扁桃体柱恶性肿瘤（前）（后）	C09.100
舌腭弓恶性肿瘤	C09.100x001
前扁桃体柱恶性肿瘤	C09.100x002
后扁桃体柱恶性肿瘤	C09.100x003
扁桃体交搭跨越恶性肿瘤的损害	C09.800
扁桃体恶性肿瘤	C09.900
咽门扁桃体恶性肿瘤	C09.901
腭扁桃体恶性肿瘤	C09.902
会厌谷恶性肿瘤	C10.000
会厌前面恶性肿瘤	C10.100
会厌边缘恶性肿瘤	C10.101
舌会厌褶恶性肿瘤	C10.102
口咽侧壁恶性肿瘤	C10.200
口咽后壁恶性肿瘤	C10.300
鳃裂恶性肿瘤	C10.400
口咽交搭跨越恶性肿瘤的损害	C10.800
口咽连接部恶性肿瘤	C10.800x002
口咽恶性肿瘤	C10.900
鼻咽上壁恶性肿瘤	C11.000
鼻咽顶恶性肿瘤	C11.001
鼻咽后壁恶性肿瘤	C11.100
腺样体恶性肿瘤	C11.101
咽扁桃体恶性肿瘤	C11.102
鼻咽侧壁恶性肿瘤	C11.200
罗森米窝恶性肿瘤	C11.200x002
咽鼓管开口恶性肿瘤	C11.201
咽隐窝恶性肿瘤	C11.202
鼻咽前壁恶性肿瘤	C11.300
鼻中隔后缘恶性肿瘤	C11.300x001
软腭的鼻咽后面恶性肿瘤	C11.300x004
软腭的鼻咽上面恶性肿瘤	C11.300x005
鼻后缘恶性肿瘤	C11.300x006
鼻咽底恶性肿瘤	C11.301
鼻后孔恶性肿瘤	C11.302
鼻咽交搭跨越恶性肿瘤的损害	C11.800
鼻咽多壁恶性肿瘤	C11.801
鼻咽恶性肿瘤	C11.900
鼻咽壁恶性肿瘤	C11.901
梨状窦恶性肿瘤	C12.x00
梨状窝恶性肿瘤	C12.x00x002
环状软骨后部恶性肿瘤	C13.000
杓状会厌褶，咽下面的恶性肿瘤	C13.100
杓状会厌褶恶性肿瘤	C13.100x001
杓状会厌褶边缘区恶性肿瘤	C13.100x002
咽下面恶性肿瘤	C13.101
下咽后壁恶性肿瘤	C13.200
下咽交搭跨越恶性肿瘤的损害	C13.800
下咽恶性肿瘤	C13.900
下咽壁恶性肿瘤	C13.901
咽恶性肿瘤	C14.000
咽喉恶性肿瘤	C14.001
咽侧壁恶性肿瘤	C14.002
咽后壁恶性肿瘤	C14.003
瓦尔代尔扁桃体环恶性肿瘤	C14.200
唇、口腔和咽交搭跨越恶性肿瘤的损害	C14.800
颊部及牙龈恶性肿瘤	C14.800x001
舌根及咽部恶性肿瘤	C14.800x002
舌根和咽部及喉部恶性肿瘤	C14.800x003
舌部及口底恶性肿瘤	C14.800x004
口腔及咽部恶性肿瘤	C14.800x005
腭部及咽部恶性肿瘤	C14.800x006
舌下腺及舌根恶性肿瘤	C14.800x007
颈部食管恶性肿瘤	C15.000
胸部食管恶性肿瘤	C15.100
食管胸上段恶性肿瘤	C15.100x002
食管胸中段恶性肿瘤	C15.100x003
食管胸下段恶性肿瘤	C15.100x004
腹部食管恶性肿瘤	C15.200
食管上三分之一的恶性肿瘤	C15.300
食管中三分之一的恶性肿瘤	C15.400
食管下三分之一的恶性肿瘤	C15.500
食管交搭跨越恶性肿瘤的损害	C15.800
食管颈部及腹部恶性肿瘤	C15.800x001
食管颈部及胸部恶性肿瘤	C15.800x002
食管胸部及腹部恶性肿瘤	C15.800x003
食管颈部和胸部及腹部恶性肿瘤	C15.800x004
食管中上段恶性肿瘤	C15.801
食管中下段恶性肿瘤	C15.802
食管恶性肿瘤	C15.900
食管多处恶性肿瘤	C15.900x003
贲门恶性肿瘤	C16.000
贲门口恶性肿瘤	C16.000x003
胃角恶性肿瘤	C16.000x004
食管贲门连接处恶性肿瘤	C16.001
食管胃连接处恶性肿瘤	C16.002
胃底恶性肿瘤	C16.100
胃体恶性肿瘤	C16.200
幽门窦恶性肿瘤	C16.300
胃窦恶性肿瘤	C16.301
幽门恶性肿瘤	C16.400
幽门前恶性肿瘤	C16.401
幽门管恶性肿瘤	C16.402
胃小弯恶性肿瘤	C16.500
胃大弯恶性肿瘤	C16.600
胃交搭跨越恶性肿瘤的损害	C16.800
胃体和胃窦及胃大弯恶性肿瘤	C16.800x002
胃底及胃体恶性肿瘤	C16.800x003
贲门胃底恶性肿瘤	C16.801
贲门胃体恶性肿瘤	C16.802
胃窦胃体恶性肿瘤	C16.803
胃底胃体恶性肿瘤	C16.804
胃恶性肿瘤	C16.900
胃多处恶性肿瘤	C16.900x003
胃溃疡癌变	C16.902
残胃恶性肿瘤	C16.903
十二指肠恶性肿瘤	C17.000
空肠恶性肿瘤	C17.100
回肠恶性肿瘤	C17.200
麦克尔憩室恶性肿瘤	C17.300
小肠交搭跨越恶性肿瘤的损害	C17.800
十二指肠及空肠恶性肿瘤	C17.801
小肠恶性肿瘤	C17.900
小肠多处恶性肿瘤	C17.900x002
盲肠恶性肿瘤	C18.000
回盲部恶性肿瘤	C18.001
阑尾恶性肿瘤	C18.100
升结肠恶性肿瘤	C18.200
结肠肝曲恶性肿瘤	C18.300
横结肠恶性肿瘤	C18.400
结肠脾曲恶性肿瘤	C18.500
降结肠恶性肿瘤	C18.600
乙状结肠恶性肿瘤	C18.700
结肠交搭跨越恶性肿瘤的损害	C18.800
盲肠及升结肠恶性肿瘤	C18.800x002
降结肠乙状结肠恶性肿瘤	C18.801
升结肠横结肠恶性肿瘤	C18.802
横结肠降结肠恶性肿瘤	C18.803
结肠恶性肿瘤	C18.900
结肠多处恶性肿瘤	C18.900x001
结肠腺瘤恶变	C18.901
直肠乙状结肠连接处恶性肿瘤	C19.x00
结肠和直肠恶性肿瘤	C19.x01
直肠恶性肿瘤	C20.x00
直肠多处恶性肿瘤	C20.x00x003
直肠壶腹部恶性肿瘤	C20.x01
肛门恶性肿瘤	C21.000
肛管恶性肿瘤	C21.100
肛门括约肌恶性肿瘤	C21.101
泄殖腔肛源区恶性肿瘤	C21.200
直肠、肛门和肛管交搭跨越恶性肿瘤的损害	C21.800
直肠肛管恶性肿瘤	C21.801
直肠肛门恶性肿瘤	C21.802
肝细胞癌	C22.000
肝恶性细胞瘤	C22.001
肝内胆管癌	C22.100
胆管癌	C22.101
肝母细胞瘤	C22.200
肝血管肉瘤	C22.300
肝巨噬细胞肉瘤	C22.301
肝的其他肉瘤	C22.400
肝恶性肿瘤，其他特指的	C22.700
肝恶性肿瘤	C22.900
胆囊恶性肿瘤	C23.x00
肝外胆管恶性肿瘤	C24.000
肝门胆管恶性肿瘤	C24.000x007
肝管恶性肿瘤	C24.001
胆管恶性肿瘤	C24.002
